product,time,price
Macbook 14 Pro M4 Pro 512GB,2025-03-07 15:24:04,15499.0
AirPods Pro 2 Type C,2025-03-18 03:01:13,1699.0
AirPods Pro 2 Type C,2025-03-24 13:32:25,1549.0
Macbook 14 Pro M3 512GB,2025-03-31 12:49:51,14199.0
Macbook 14 Pro M3 512GB,2025-03-31 13:32:29,13599.0
AirPods Pro 2 Type C,2025-04-02 03:04:08,1699.0
Macbook 14 Pro M4 Pro 512GB,2025-04-02 03:04:08,16299.0
Macbook 14 Pro M3 512GB,2025-04-03 14:23:21,14199.0
Macbook 14 Pro M4 Pro 512GB,2025-04-04 17:20:40,15799.0
AirPods Pro 2 Type C,2025-04-04 17:20:40,1599.0
Macbook 14 Pro M4 Pro 1TB,2025-04-04 17:20:40,17999.0
AirPods Pro 2 Type C,2025-04-08 13:32:49,1549.0
AirPods Pro 2 Type C,2025-04-08 14:24:41,1599.0
Macbook 14 Pro M4 Pro 512GB,2025-05-05 13:33:56,15299.0
AirPods Pro 2 Type C,2025-05-12 21:22:54,1499.0
Macbook 14 Pro M4 Pro 512GB,2025-05-15 03:14:20,15799.0
Macbook 14 Pro M4 Pro 512GB,2025-05-20 13:36:42,15299.0
Macbook 14 Pro M4 Pro 512GB,2025-05-20 14:25:33,15799.0
Macbook 14 Pro M4 Pro 512GB,2025-05-29 17:23:17,16499.0
AirPods Pro 2 Type C,2025-06-11 03:50:58,1599.0
Macbook 14 Pro M4 Pro 512GB,2025-06-18 16:33:26,15999.0
Macbook 14 Pro M4 Pro 1TB,2025-06-18 16:33:26,17799.0
Macbook 14 Pro M4 Pro 512GB,2025-07-17 17:25:55,15199.0
AirPods Pro 2 Type C,2025-07-17 17:25:55,1499.0
Macbook 14 Pro M4 Pro 512GB,2025-07-23 14:28:53,14999.0
AirPods Pro 2 Type C,2025-08-04 04:19:14,1599.0
Macbook 14 Pro M4 Pro 512GB,2025-08-04 04:19:14,15999.0
Macbook 14 Pro M4 Pro 512GB,2025-08-05 19:26:23,15599.0
Macbook 14 Pro M4 Pro 512GB,2025-08-07 15:31:08,14699.0
AirPods Pro 2 Type C,2025-08-07 19:24:35,1499.0
